source.bytes,source.packets,destination.bytes,destination.packets,network.packets,event.duration,network.transport_tcp,network.transport_udp
6.649620310401796e-06,0.000694440786412489,3.502933464109516e-05,0.0007236790341675313,0.0009283944937169055,0.7688416489805044,1.0,0.0
0.00012576354538631912,0.01104433007973339,0.0006274960234265182,0.009029062437673029,0.01317416434225715,0.7703172420768353,1.0,0.0
0.018974675100035178,0.05122620157570458,0.9999999999999999,1.0,0.675682813023579,0.7702480104211427,1.0,0.0
0.0037088521838230318,0.018982552065500428,0.0021332960796430537,0.0022369092775469204,0.014123685385767866,0.7693490298972239,1.0,0.0
4.092658263076046e-06,0.00035029314004877764,1.2696000473984016e-05,0.0001820633726919579,0.00035093546601941184,0.7694147690401294,1.0,0.0
8.193924121162893e-06,0.0007014642077668505,2.54960009518507e-05,0.0003650416367039759,0.0007030446292495909,0.7694147690401294,1.0,0.0
4.092658263076046e-06,0.00035029314004877764,1.2696000473984016e-05,0.0001820633726919579,0.00035093546601941184,0.7694147561526282,1.0,0.0
8.193924121162893e-06,0.0007014642077668505,2.54960009518507e-05,0.0003650416367039759,0.0007030446292495909,0.7694147561526282,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655178078072018,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655177949197006,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655338140835177,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655338140835177,1.0,0.0
4.06734180716193e-06,0.0003476593570408921,1.2762667143139573e-05,0.0001838931553320781,0.0003503486174140282,0.7655338140835177,1.0,0.0
8.143291209334661e-06,0.0006961966417510794,2.5629334290161814e-05,0.0003687012019842163,0.0007018709320388237,0.7655338140835177,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655338140835177,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655338140835177,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2896000481450683e-05,0.00018663782929225837,0.0003526960118355627,0.7655338140835177,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.5896000966784037e-05,0.00037419054990457684,0.0007065657208818926,0.7655338140835177,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2896000481450683e-05,0.00018663782929225837,0.0003526960118355627,0.7655338140835177,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.5896000966784037e-05,0.00037419054990457684,0.0007065657208818926,0.7655338140835177,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655338269710189,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655338398585199,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655338398585199,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655338398585199,1.0,0.0
4.06734180716193e-06,0.0003476593570408921,1.296266715060624e-05,0.00018755272061231844,0.0003526960118355627,0.7655338398585199,1.0,0.0
8.143291209334661e-06,0.0006961966417510794,2.596266763593959e-05,0.000376020332544697,0.0007065657208818926,0.7655338398585199,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.765533852746021,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.765533852746021,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.765533852746021,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.765533852746021,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655998625264486,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655998625264486,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655341749335476,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655341749335476,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.765534290921057,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655343166960591,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655344713460719,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655344713460719,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2629333804828461e-05,0.00018114848137189784,0.0003491749202032609,0.7655344713460719,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.536266761353959e-05,0.00036321185406385577,0.0006995235376172891,0.7655344713460719,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655344713460719,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655344713460719,1.0,0.0
4.080000035118988e-06,0.0003485372847101873,1.2762667143139573e-05,0.000182978264012018,0.0003503486174140282,0.7655344326835687,1.0,0.0
8.155949437291718e-06,0.0006979524970896698,2.556266762100626e-05,0.00036687141934409613,0.0007018709320388237,0.7655344326835687,1.0,0.0
